file,date,places,coordinates,lat,lon
ESR-EDA-1892-01-08.xml,1892-01-08,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1892-01-08.xml,1892-01-08,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1892-04-12.xml,1892-04-12,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1892-04-07.xml,1892-04-07,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1890-09-29.xml,1890-09-29,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1894-03-24.xml,1894-03-24,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1893-05-23.xml,1893-05-23,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1893-05-23.xml,1893-05-23,the New England,"(51.502918, 0.0030255532020142147)",51.502918,0.0030255532020142147
ESR-EDA-1893-02-17.xml,1893-02-17,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1900-11-15.xml,1900-11-15,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1900-11-15.xml,1900-11-15,Paris,"(48.8588897, 2.3200410217200766)",48.8588897,2.3200410217200766
ESR-EDA-1900-11-15.xml,1900-11-15,Providence,"(41.8239891, -71.4128343)",41.8239891,-71.4128343
ESR-EDA-1892-02-12.xml,1892-02-12,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1892-02-12.xml,1892-02-12,Washington,"(38.8950368, -77.0365427)",38.8950368,-77.0365427
ESR-EDA-1892-02-12.xml,1892-02-12,Baltimore,"(39.2908816, -76.610759)",39.2908816,-76.610759
ESR-EDA-1892-02-12.xml,1892-02-12,hominy,"(36.4142357, -96.3952963)",36.4142357,-96.3952963
ESR-EDA-1893-03-23.xml,1893-03-23,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1893-03-23.xml,1893-03-23,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1893-03-23.xml,1893-03-23,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1894-05-24.xml,1894-05-24,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1894-05-24.xml,1894-05-24,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1890-06-25.xml,1890-06-25,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1893-04-01.xml,1893-04-01,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1893-01-01.xml,1893-01-01,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1893-01-01.xml,1893-01-01,Hull House,"(35.67935425, 139.6797017)",35.67935425,139.6797017
ESR-EDA-1893-01-01.xml,1893-01-01,the New England Kitchen,"(49.957959349999996, -6.350702941026096)",49.957959349999996,-6.350702941026096
ESR-EDA-1894-05-15.xml,1894-05-15,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1894-05-02.xml,1894-05-02,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1894-05-02.xml,1894-05-02,Valparaiso,"(41.4730948, -87.0611412)",41.4730948,-87.0611412
ESR-EDA-1894-05-02.xml,1894-05-02,Kankakee,"(41.1253903, -87.848682)",41.1253903,-87.848682
ESR-EDA-1891-12-10.xml,1891-12-10,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1891-12-10.xml,1891-12-10,Domestic Science,"(51.6385973, -2.161429719179966)",51.6385973,-2.161429719179966
ESR-EDA-1891-12-10.xml,1891-12-10,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1891-12-10.xml,1891-12-10,Chicago,"(41.8755616, -87.6244212)",41.8755616,-87.6244212
ESR-EDA-1890-03-08.xml,1890-03-08,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
ESR-EDA-1890-12-02.xml,1890-12-02,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
